"Year","Quarter ID","Quarter","Nation ID","Nation","State ID","State","Trade Value","Time"
2008,20081,"2008-Q1","mex","México",24,"San Luis Potosí",35786629,1201845600000
2008,20081,"2008-Q1","mex","México",26,"Sonora",105335490,1201845600000
2008,20081,"2008-Q1","mex","México",28,"Tamaulipas",66139107,1201845600000
2008,20081,"2008-Q1","mex","México",29,"Tlaxcala",28942723,1201845600000
2008,20081,"2008-Q1","mex","México",30,"Veracruz de Ignacio de la Llave",3032210,1201845600000
2008,20081,"2008-Q1","mex","México",31,"Yucatán",105658189,1201845600000
2008,20082,"2008-Q2","mex","México",1,"Aguascalientes",63000133,1209618000000
2008,20082,"2008-Q2","mex","México",2,"Baja California",23640831,1209618000000
2008,20082,"2008-Q2","mex","México",4,"Campeche",53036716,1209618000000
2008,20082,"2008-Q2","mex","México",5,"Coahuila de Zaragoza",204532527,1209618000000
2008,20082,"2008-Q2","mex","México",8,"Chihuahua",144986615,1209618000000
2008,20082,"2008-Q2","mex","México",9,"Ciudad de México",126814675,1209618000000
2008,20082,"2008-Q2","mex","México",10,"Durango",55297844,1209618000000
2008,20082,"2008-Q2","mex","México",11,"Guanajuato",78779304,1209618000000
2008,20082,"2008-Q2","mex","México",12,"Guerrero",1209,1209618000000
2008,20082,"2008-Q2","mex","México",13,"Hidalgo",9834576,1209618000000
2008,20082,"2008-Q2","mex","México",14,"Jalisco",44498129,1209618000000
2008,20082,"2008-Q2","mex","México",15,"Estado de México",95672551,1209618000000
2008,20082,"2008-Q2","mex","México",16,"Michoacán de Ocampo",1209750,1209618000000
2008,20082,"2008-Q2","mex","México",17,"Morelos",9038316,1209618000000
2008,20082,"2008-Q2","mex","México",19,"Nuevo León",77970135,1209618000000
2008,20082,"2008-Q2","mex","México",21,"Puebla",119123131,1209618000000
2008,20082,"2008-Q2","mex","México",22,"Querétaro",40452755,1209618000000
2008,20082,"2008-Q2","mex","México",23,"Quintana Roo",1538474,1209618000000
2008,20082,"2008-Q2","mex","México",24,"San Luis Potosí",35242535,1209618000000
2008,20082,"2008-Q2","mex","México",26,"Sonora",111970088,1209618000000
2008,20082,"2008-Q2","mex","México",28,"Tamaulipas",70004693,1209618000000
2008,20082,"2008-Q2","mex","México",29,"Tlaxcala",28695455,1209618000000
2008,20082,"2008-Q2","mex","México",30,"Veracruz de Ignacio de la Llave",4422860,1209618000000
2008,20082,"2008-Q2","mex","México",31,"Yucatán",110546872,1209618000000
2008,20082,"2008-Q2","mex","México",32,"Zacatecas",5027893,1209618000000
2008,20083,"2008-Q3","mex","México",1,"Aguascalientes",67209866,1217566800000
2008,20083,"2008-Q3","mex","México",2,"Baja California",31144981,1217566800000
2008,20083,"2008-Q3","mex","México",4,"Campeche",48399093,1217566800000
2008,20083,"2008-Q3","mex","México",5,"Coahuila de Zaragoza",226482718,1217566800000
2008,20083,"2008-Q3","mex","México",8,"Chihuahua",138691938,1217566800000
2008,20083,"2008-Q3","mex","México",9,"Ciudad de México",125739337,1217566800000
2008,20083,"2008-Q3","mex","México",10,"Durango",53999663,1217566800000
2008,20083,"2008-Q3","mex","México",11,"Guanajuato",83498625,1217566800000
2008,20083,"2008-Q3","mex","México",13,"Hidalgo",12205022,1217566800000
2008,20083,"2008-Q3","mex","México",14,"Jalisco",73486232,1217566800000
2008,20083,"2008-Q3","mex","México",15,"Estado de México",101164057,1217566800000
2008,20083,"2008-Q3","mex","México",16,"Michoacán de Ocampo",1248812,1217566800000
2008,20083,"2008-Q3","mex","México",17,"Morelos",2670820,1217566800000
2008,20083,"2008-Q3","mex","México",19,"Nuevo León",81751251,1217566800000
2008,20083,"2008-Q3","mex","México",21,"Puebla",126578213,1217566800000
2008,20083,"2008-Q3","mex","México",22,"Querétaro",49056656,1217566800000
2008,20083,"2008-Q3","mex","México",23,"Quintana Roo",277799,1217566800000
2008,20083,"2008-Q3","mex","México",24,"San Luis Potosí",30622643,1217566800000
2008,20083,"2008-Q3","mex","México",26,"Sonora",99621987,1217566800000
2008,20083,"2008-Q3","mex","México",28,"Tamaulipas",65001750,1217566800000
2008,20083,"2008-Q3","mex","México",29,"Tlaxcala",33696184,1217566800000
2008,20083,"2008-Q3","mex","México",30,"Veracruz de Ignacio de la Llave",232954,1217566800000
2008,20083,"2008-Q3","mex","México",31,"Yucatán",114688561,1217566800000
2008,20083,"2008-Q3","mex","México",32,"Zacatecas",1484008,1217566800000
2008,20084,"2008-Q4","mex","México",1,"Aguascalientes",65411553,1225519200000
2008,20084,"2008-Q4","mex","México",2,"Baja California",40764916,1225519200000
2008,20084,"2008-Q4","mex","México",4,"Campeche",39228295,1225519200000
2008,20084,"2008-Q4","mex","México",5,"Coahuila de Zaragoza",191698452,1225519200000
2008,20084,"2008-Q4","mex","México",8,"Chihuahua",145480486,1225519200000
2008,20084,"2008-Q4","mex","México",9,"Ciudad de México",115259168,1225519200000
2008,20084,"2008-Q4","mex","México",10,"Durango",48516232,1225519200000
2008,20084,"2008-Q4","mex","México",11,"Guanajuato",66569503,1225519200000
2008,20084,"2008-Q4","mex","México",13,"Hidalgo",16830739,1225519200000
2008,20084,"2008-Q4","mex","México",14,"Jalisco",55248640,1225519200000
2008,20084,"2008-Q4","mex","México",15,"Estado de México",76695399,1225519200000
2008,20084,"2008-Q4","mex","México",16,"Michoacán de Ocampo",1081144,1225519200000
2008,20084,"2008-Q4","mex","México",17,"Morelos",4716775,1225519200000
2008,20084,"2008-Q4","mex","México",19,"Nuevo León",69924514,1225519200000
2008,20084,"2008-Q4","mex","México",21,"Puebla",101311630,1225519200000
2008,20084,"2008-Q4","mex","México",22,"Querétaro",40507485,1225519200000
2008,20084,"2008-Q4","mex","México",23,"Quintana Roo",1134829,1225519200000
2008,20084,"2008-Q4","mex","México",24,"San Luis Potosí",13321632,1225519200000
2008,20084,"2008-Q4","mex","México",26,"Sonora",84601098,1225519200000
2008,20084,"2008-Q4","mex","México",28,"Tamaulipas",55307273,1225519200000
2008,20084,"2008-Q4","mex","México",29,"Tlaxcala",29355561,1225519200000
2008,20084,"2008-Q4","mex","México",30,"Veracruz de Ignacio de la Llave",3491410,1225519200000
2008,20084,"2008-Q4","mex","México",31,"Yucatán",96054157,1225519200000
2008,20084,"2008-Q4","mex","México",32,"Zacatecas",2788335,1225519200000
2009,20091,"2009-Q1","mex","México",1,"Aguascalientes",50221747,1233468000000
2009,20091,"2009-Q1","mex","México",2,"Baja California",29188593,1233468000000
2009,20091,"2009-Q1","mex","México",4,"Campeche",37420994,1233468000000
2009,20091,"2009-Q1","mex","México",5,"Coahuila de Zaragoza",104169230,1233468000000
2009,20091,"2009-Q1","mex","México",8,"Chihuahua",100282538,1233468000000
2009,20091,"2009-Q1","mex","México",9,"Ciudad de México",122083322,1233468000000
2009,20091,"2009-Q1","mex","México",10,"Durango",54974470,1233468000000
2009,20091,"2009-Q1","mex","México",11,"Guanajuato",55480303,1233468000000
